"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus","price_k","price_level"
"22",8680000,7155,3,2,1,"yes","yes","yes","no","yes",2,"no","unfurnished",8680,4
"23",8645000,8050,3,1,1,"yes","yes","yes","no","yes",1,"no","furnished",8645,4
"24",8645000,4560,3,2,2,"yes","yes","yes","no","yes",1,"no","furnished",8645,4
"25",8575000,8800,3,2,2,"yes","no","no","no","yes",2,"no","furnished",8575,4
"26",8540000,6540,4,2,2,"yes","yes","yes","no","yes",2,"yes","furnished",8540,4
"27",8463000,6000,3,2,4,"yes","yes","yes","no","yes",0,"yes","semi-furnished",8463,4
"28",8400000,8875,3,1,1,"yes","no","no","no","no",1,"no","semi-furnished",8400,4
"29",8400000,7950,5,2,2,"yes","no","yes","yes","no",2,"no","unfurnished",8400,4
"30",8400000,5500,4,2,2,"yes","no","yes","no","yes",1,"yes","semi-furnished",8400,4
"31",8400000,7475,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished",8400,4
"32",8400000,7000,3,1,4,"yes","no","no","no","yes",2,"no","semi-furnished",8400,4
"33",8295000,4880,4,2,2,"yes","no","no","no","yes",1,"yes","furnished",8295,4
"34",8190000,5960,3,3,2,"yes","yes","yes","no","no",1,"no","unfurnished",8190,4
"35",8120000,6840,5,1,2,"yes","yes","yes","no","yes",1,"no","furnished",8120,4
"36",8080940,7000,3,2,4,"yes","no","no","no","yes",2,"no","furnished",8080.94,4
"37",8043000,7482,3,2,3,"yes","no","no","yes","no",1,"yes","furnished",8043,4
"38",7980000,9000,4,2,4,"yes","no","no","no","yes",2,"no","furnished",7980,4
"39",7962500,6000,3,1,4,"yes","yes","no","no","yes",2,"no","unfurnished",7962.5,4
"40",7910000,6000,4,2,4,"yes","no","no","no","yes",1,"no","semi-furnished",7910,4
"41",7875000,6550,3,1,2,"yes","no","yes","no","yes",0,"yes","furnished",7875,4
"42",7840000,6360,3,2,4,"yes","no","no","no","yes",0,"yes","furnished",7840,4
"43",7700000,6480,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished",7700,4
"44",7700000,6000,4,2,4,"yes","no","no","no","no",2,"no","semi-furnished",7700,4
"45",7560000,6000,4,2,4,"yes","no","no","no","yes",1,"no","furnished",7560,4
"46",7560000,6000,3,2,3,"yes","no","no","no","yes",0,"no","semi-furnished",7560,4
"47",7525000,6000,3,2,4,"yes","no","no","no","yes",1,"no","furnished",7525,4
"48",7490000,6600,3,1,4,"yes","no","no","no","yes",3,"yes","furnished",7490,4
"49",7455000,4300,3,2,2,"yes","no","yes","no","no",1,"no","unfurnished",7455,4
"50",7420000,7440,3,2,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished",7420,4
"51",7420000,7440,3,2,4,"yes","no","no","no","no",1,"yes","unfurnished",7420,4
"52",7420000,6325,3,1,4,"yes","no","no","no","yes",1,"no","unfurnished",7420,4
"53",7350000,6000,4,2,4,"yes","yes","no","no","yes",1,"no","furnished",7350,4
"54",7350000,5150,3,2,4,"yes","no","no","no","yes",2,"no","semi-furnished",7350,4
"55",7350000,6000,3,2,2,"yes","yes","no","no","yes",1,"no","semi-furnished",7350,4
"56",7350000,6000,3,1,2,"yes","no","no","no","yes",1,"no","unfurnished",7350,4
"57",7343000,11440,4,1,2,"yes","no","yes","no","no",1,"yes","semi-furnished",7343,4
"58",7245000,9000,4,2,4,"yes","yes","no","no","yes",1,"yes","furnished",7245,4
"59",7210000,7680,4,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished",7210,4
"60",7210000,6000,3,2,4,"yes","yes","no","no","yes",1,"no","furnished",7210,4
"61",7140000,6000,3,2,2,"yes","yes","no","no","no",1,"no","semi-furnished",7140,4
"62",7070000,8880,2,1,1,"yes","no","no","no","yes",1,"no","semi-furnished",7070,4
"63",7070000,6240,4,2,2,"yes","no","no","no","yes",1,"no","furnished",7070,4
"64",7035000,6360,4,2,3,"yes","no","no","no","yes",2,"yes","furnished",7035,4
"65",7000000,11175,3,1,1,"yes","no","yes","no","yes",1,"yes","furnished",7000,4
"66",6930000,8880,3,2,2,"yes","no","yes","no","yes",1,"no","furnished",6930,4
"67",6930000,13200,2,1,1,"yes","no","yes","yes","no",1,"no","furnished",6930,4
"68",6895000,7700,3,2,1,"yes","no","no","no","no",2,"no","unfurnished",6895,4
"69",6860000,6000,3,1,1,"yes","no","no","no","yes",1,"no","furnished",6860,4
"70",6790000,12090,4,2,2,"yes","no","no","no","no",2,"yes","furnished",6790,4
"71",6790000,4000,3,2,2,"yes","no","yes","no","yes",0,"yes","semi-furnished",6790,4
"72",6755000,6000,4,2,4,"yes","no","no","no","yes",0,"no","unfurnished",6755,4
"73",6720000,5020,3,1,4,"yes","no","no","no","yes",0,"yes","unfurnished",6720,4
"74",6685000,6600,2,2,4,"yes","no","yes","no","no",0,"yes","furnished",6685,4
"75",6650000,4040,3,1,2,"yes","no","yes","yes","no",1,"no","furnished",6650,4
"76",6650000,4260,4,2,2,"yes","no","no","yes","no",0,"no","semi-furnished",6650,4
"77",6650000,6420,3,2,3,"yes","no","no","no","yes",0,"yes","furnished",6650,4
"78",6650000,6500,3,2,3,"yes","no","no","no","yes",0,"yes","furnished",6650,4
"79",6650000,5700,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished",6650,4
"80",6650000,6000,3,2,3,"yes","yes","no","no","yes",0,"no","furnished",6650,4
"81",6629000,6000,3,1,2,"yes","no","no","yes","no",1,"yes","semi-furnished",6629,4
"82",6615000,4000,3,2,2,"yes","no","yes","no","yes",1,"no","semi-furnished",6615,4
"83",6615000,10500,3,2,1,"yes","no","yes","no","yes",1,"yes","furnished",6615,4
"84",6580000,6000,3,2,4,"yes","no","no","no","yes",0,"no","semi-furnished",6580,4
"85",6510000,3760,3,1,2,"yes","no","no","yes","no",2,"no","semi-furnished",6510,4
"86",6510000,8250,3,2,3,"yes","no","no","no","yes",0,"no","furnished",6510,4
"87",6510000,6670,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished",6510,4
"88",6475000,3960,3,1,1,"yes","no","yes","no","no",2,"no","semi-furnished",6475,4
"89",6475000,7410,3,1,1,"yes","yes","yes","no","yes",2,"yes","unfurnished",6475,4
"90",6440000,8580,5,3,2,"yes","no","no","no","no",2,"no","furnished",6440,4
"91",6440000,5000,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished",6440,4
"92",6419000,6750,2,1,1,"yes","yes","yes","no","no",2,"yes","furnished",6419,4
"93",6405000,4800,3,2,4,"yes","yes","no","no","yes",0,"no","furnished",6405,4
"94",6300000,7200,3,2,1,"yes","no","yes","no","yes",3,"no","semi-furnished",6300,4
"95",6300000,6000,4,2,4,"yes","no","no","no","no",1,"no","semi-furnished",6300,4
"96",6300000,4100,3,2,3,"yes","no","no","no","yes",2,"no","semi-furnished",6300,4
"97",6300000,9000,3,1,1,"yes","no","yes","no","no",1,"yes","furnished",6300,4
"98",6300000,6400,3,1,1,"yes","yes","yes","no","yes",1,"yes","semi-furnished",6300,4
"99",6293000,6600,3,2,3,"yes","no","no","no","yes",0,"yes","unfurnished",6293,4
"100",6265000,6000,4,1,3,"yes","yes","yes","no","no",0,"yes","unfurnished",6265,4
"101",6230000,6600,3,2,1,"yes","no","yes","no","yes",0,"yes","unfurnished",6230,4
"102",6230000,5500,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished",6230,4
"103",6195000,5500,3,2,4,"yes","yes","no","no","yes",1,"no","semi-furnished",6195,4
"104",6195000,6350,3,2,3,"yes","yes","no","no","yes",0,"no","furnished",6195,4
"105",6195000,5500,3,2,1,"yes","yes","yes","no","no",2,"yes","furnished",6195,4
"106",6160000,4500,3,1,4,"yes","no","no","no","yes",0,"no","unfurnished",6160,4
"107",6160000,5450,4,2,1,"yes","no","yes","no","yes",0,"yes","semi-furnished",6160,4
"108",6125000,6420,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished",6125,4
"109",6107500,3240,4,1,3,"yes","no","no","no","no",1,"no","semi-furnished",6107.5,4
"110",6090000,6615,4,2,2,"yes","yes","no","yes","no",1,"no","semi-furnished",6090,4
"111",6090000,6600,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished",6090,4
"112",6090000,8372,3,1,3,"yes","no","no","no","yes",2,"no","unfurnished",6090,4
"113",6083000,4300,6,2,2,"yes","no","no","no","no",0,"no","furnished",6083,4
"114",6083000,9620,3,1,1,"yes","no","yes","no","no",2,"yes","furnished",6083,4
"115",6020000,6800,2,1,1,"yes","yes","yes","no","no",2,"no","furnished",6020,4
"116",6020000,8000,3,1,1,"yes","yes","yes","no","yes",2,"yes","semi-furnished",6020,4
"117",6020000,6900,3,2,1,"yes","yes","yes","no","no",0,"yes","unfurnished",6020,4
"118",5950000,3700,4,1,2,"yes","yes","no","no","yes",0,"no","furnished",5950,4
"119",5950000,6420,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished",5950,4
"120",5950000,7020,3,1,1,"yes","no","yes","no","yes",2,"yes","semi-furnished",5950,4
"121",5950000,6540,3,1,1,"yes","yes","yes","no","no",2,"yes","furnished",5950,4
"122",5950000,7231,3,1,2,"yes","yes","yes","no","yes",0,"yes","semi-furnished",5950,4
"123",5950000,6254,4,2,1,"yes","no","yes","no","no",1,"yes","semi-furnished",5950,4
"124",5950000,7320,4,2,2,"yes","no","no","no","no",0,"no","furnished",5950,4
"125",5950000,6525,3,2,4,"yes","no","no","no","no",1,"no","furnished",5950,4
"126",5943000,15600,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished",5943,4
"127",5880000,7160,3,1,1,"yes","no","yes","no","no",2,"yes","unfurnished",5880,4
"128",5880000,6500,3,2,3,"yes","no","no","no","yes",0,"no","unfurnished",5880,4
"129",5873000,5500,3,1,3,"yes","yes","no","no","yes",1,"no","furnished",5873,4
"130",5873000,11460,3,1,3,"yes","no","no","no","no",2,"yes","semi-furnished",5873,4
"131",5866000,4800,3,1,1,"yes","yes","yes","no","no",0,"no","unfurnished",5866,4
"132",5810000,5828,4,1,4,"yes","yes","no","no","no",0,"no","semi-furnished",5810,4
"133",5810000,5200,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished",5810,4
"134",5810000,4800,3,1,3,"yes","no","no","no","yes",0,"no","unfurnished",5810,4
"135",5803000,7000,3,1,1,"yes","no","yes","no","no",2,"yes","semi-furnished",5803,4
"136",5775000,6000,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished",5775,4
"137",5740000,5400,4,2,2,"yes","no","no","no","yes",2,"no","unfurnished",5740,3
"138",5740000,4640,4,1,2,"yes","no","no","no","no",1,"no","semi-furnished",5740,3
"139",5740000,5000,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished",5740,3
"140",5740000,6360,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished",5740,3
"141",5740000,5800,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished",5740,3
"142",5652500,6660,4,2,2,"yes","yes","yes","no","no",1,"yes","semi-furnished",5652.5,3
"143",5600000,10500,4,2,2,"yes","no","no","no","no",1,"no","semi-furnished",5600,3
"144",5600000,4800,5,2,3,"no","no","yes","yes","no",0,"no","unfurnished",5600,3
"145",5600000,4700,4,1,2,"yes","yes","yes","no","yes",1,"no","furnished",5600,3
"146",5600000,5000,3,1,4,"yes","no","no","no","no",0,"no","furnished",5600,3
"147",5600000,10500,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished",5600,3
"148",5600000,5500,3,2,2,"yes","no","no","no","no",1,"no","semi-furnished",5600,3
"149",5600000,6360,3,1,3,"yes","no","no","no","no",0,"yes","semi-furnished",5600,3
"150",5600000,6600,4,2,1,"yes","no","yes","no","no",0,"yes","semi-furnished",5600,3
"151",5600000,5136,3,1,2,"yes","yes","yes","no","yes",0,"yes","unfurnished",5600,3
"152",5565000,4400,4,1,2,"yes","no","no","no","yes",2,"yes","semi-furnished",5565,3
"153",5565000,5400,5,1,2,"yes","yes","yes","no","yes",0,"yes","furnished",5565,3
"154",5530000,3300,3,3,2,"yes","no","yes","no","no",0,"no","semi-furnished",5530,3
"155",5530000,3650,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished",5530,3
"156",5530000,6100,3,2,1,"yes","no","yes","no","no",2,"yes","furnished",5530,3
"157",5523000,6900,3,1,1,"yes","yes","yes","no","no",0,"yes","semi-furnished",5523,3
"158",5495000,2817,4,2,2,"no","yes","yes","no","no",1,"no","furnished",5495,3
"159",5495000,7980,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished",5495,3
"160",5460000,3150,3,2,1,"yes","yes","yes","no","yes",0,"no","furnished",5460,3
"161",5460000,6210,4,1,4,"yes","yes","no","no","yes",0,"no","furnished",5460,3
"162",5460000,6100,3,1,3,"yes","yes","no","no","yes",0,"yes","semi-furnished",5460,3
"163",5460000,6600,4,2,2,"yes","yes","yes","no","no",0,"yes","semi-furnished",5460,3
"164",5425000,6825,3,1,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished",5425,3
"165",5390000,6710,3,2,2,"yes","yes","yes","no","no",1,"yes","furnished",5390,3
"166",5383000,6450,3,2,1,"yes","yes","yes","yes","no",0,"no","unfurnished",5383,3
"167",5320000,7800,3,1,1,"yes","no","yes","no","yes",2,"yes","unfurnished",5320,3
"168",5285000,4600,2,2,1,"yes","no","no","no","yes",2,"no","semi-furnished",5285,3
"169",5250000,4260,4,1,2,"yes","no","yes","no","yes",0,"no","furnished",5250,3
"170",5250000,6540,4,2,2,"no","no","no","no","yes",0,"no","semi-furnished",5250,3
"171",5250000,5500,3,2,1,"yes","no","yes","no","no",0,"no","semi-furnished",5250,3
"172",5250000,10269,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished",5250,3
"173",5250000,8400,3,1,2,"yes","yes","yes","no","yes",2,"yes","unfurnished",5250,3
"174",5250000,5300,4,2,1,"yes","no","no","no","yes",0,"yes","unfurnished",5250,3
"175",5250000,3800,3,1,2,"yes","yes","yes","no","no",1,"yes","unfurnished",5250,3
"176",5250000,9800,4,2,2,"yes","yes","no","no","no",2,"no","semi-furnished",5250,3
"177",5250000,8520,3,1,1,"yes","no","no","no","yes",2,"no","furnished",5250,3
"178",5243000,6050,3,1,1,"yes","no","yes","no","no",0,"yes","semi-furnished",5243,3
"179",5229000,7085,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished",5229,3
"180",5215000,3180,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished",5215,3
"181",5215000,4500,4,2,1,"no","no","yes","no","yes",2,"no","semi-furnished",5215,3
"182",5215000,7200,3,1,2,"yes","yes","yes","no","no",1,"yes","furnished",5215,3
"183",5145000,3410,3,1,2,"no","no","no","no","yes",0,"no","semi-furnished",5145,3
"184",5145000,7980,3,1,1,"yes","no","no","no","no",1,"yes","semi-furnished",5145,3
"185",5110000,3000,3,2,2,"yes","yes","yes","no","no",0,"no","furnished",5110,3
"186",5110000,3000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished",5110,3
"187",5110000,11410,2,1,2,"yes","no","no","no","no",0,"yes","furnished",5110,3
"188",5110000,6100,3,1,1,"yes","no","yes","no","yes",0,"yes","semi-furnished",5110,3
"189",5075000,5720,2,1,2,"yes","no","no","no","yes",0,"yes","unfurnished",5075,3
"190",5040000,3540,2,1,1,"no","yes","yes","no","no",0,"no","semi-furnished",5040,3
"191",5040000,7600,4,1,2,"yes","no","no","no","yes",2,"no","furnished",5040,3
"192",5040000,10700,3,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished",5040,3
"193",5040000,6600,3,1,1,"yes","yes","yes","no","no",0,"yes","furnished",5040,3
"194",5033000,4800,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished",5033,3
"195",5005000,8150,3,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished",5005,3
"196",4970000,4410,4,3,2,"yes","no","yes","no","no",2,"no","semi-furnished",4970,3
"197",4970000,7686,3,1,1,"yes","yes","yes","yes","no",0,"no","semi-furnished",4970,3
"198",4956000,2800,3,2,2,"no","no","yes","no","yes",1,"no","semi-furnished",4956,3
"199",4935000,5948,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished",4935,3
"200",4907000,4200,3,1,2,"yes","no","no","no","no",1,"no","furnished",4907,3
"201",4900000,4520,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished",4900,3
"202",4900000,4095,3,1,2,"no","yes","yes","no","yes",0,"no","semi-furnished",4900,3
"203",4900000,4120,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished",4900,3
"204",4900000,5400,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished",4900,3
"205",4900000,4770,3,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished",4900,3
"206",4900000,6300,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished",4900,3
"207",4900000,5800,2,1,1,"yes","yes","yes","no","yes",0,"no","semi-furnished",4900,3
"208",4900000,3000,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished",4900,3
"209",4900000,2970,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished",4900,3
"210",4900000,6720,3,1,1,"yes","no","no","no","no",0,"no","unfurnished",4900,3
"211",4900000,4646,3,1,2,"yes","yes","yes","no","no",2,"no","semi-furnished",4900,3
"212",4900000,12900,3,1,1,"yes","no","no","no","no",2,"no","furnished",4900,3
"213",4893000,3420,4,2,2,"yes","no","yes","no","yes",2,"no","semi-furnished",4893,3
"214",4893000,4995,4,2,1,"yes","no","yes","no","no",0,"no","semi-furnished",4893,3
"215",4865000,4350,2,1,1,"yes","no","yes","no","no",0,"no","unfurnished",4865,3
"216",4830000,4160,3,1,3,"yes","no","no","no","no",0,"no","unfurnished",4830,3
"217",4830000,6040,3,1,1,"yes","no","no","no","no",2,"yes","semi-furnished",4830,3
"218",4830000,6862,3,1,2,"yes","no","no","no","yes",2,"yes","furnished",4830,3
"219",4830000,4815,2,1,1,"yes","no","no","no","yes",0,"yes","semi-furnished",4830,3
"220",4795000,7000,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished",4795,3
"221",4795000,8100,4,1,4,"yes","no","yes","no","yes",2,"no","semi-furnished",4795,3
"222",4767000,3420,4,2,2,"yes","no","no","no","no",0,"no","semi-furnished",4767,3
"223",4760000,9166,2,1,1,"yes","no","yes","no","yes",2,"no","semi-furnished",4760,3
"224",4760000,6321,3,1,2,"yes","no","yes","no","yes",1,"no","furnished",4760,3
"225",4760000,10240,2,1,1,"yes","no","no","no","yes",2,"yes","unfurnished",4760,3
"226",4753000,6440,2,1,1,"yes","no","no","no","yes",3,"no","semi-furnished",4753,3
"227",4690000,5170,3,1,4,"yes","no","no","no","yes",0,"no","semi-furnished",4690,3
"228",4690000,6000,2,1,1,"yes","no","yes","no","yes",1,"no","furnished",4690,3
"229",4690000,3630,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished",4690,3
"230",4690000,9667,4,2,2,"yes","yes","yes","no","no",1,"no","semi-furnished",4690,3
"231",4690000,5400,2,1,2,"yes","no","no","no","no",0,"yes","semi-furnished",4690,3
"232",4690000,4320,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished",4690,3
"233",4655000,3745,3,1,2,"yes","no","yes","no","no",0,"no","furnished",4655,3
"234",4620000,4160,3,1,1,"yes","yes","yes","no","yes",0,"no","unfurnished",4620,3
"235",4620000,3880,3,2,2,"yes","no","yes","no","no",2,"no","semi-furnished",4620,3
"236",4620000,5680,3,1,2,"yes","yes","no","no","yes",1,"no","semi-furnished",4620,3
"237",4620000,2870,2,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished",4620,3
"238",4620000,5010,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished",4620,3
"239",4613000,4510,4,2,2,"yes","no","yes","no","no",0,"no","semi-furnished",4613,3
"240",4585000,4000,3,1,2,"yes","no","no","no","no",1,"no","furnished",4585,3
"241",4585000,3840,3,1,2,"yes","no","no","no","no",1,"yes","semi-furnished",4585,3
"242",4550000,3760,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished",4550,3
"243",4550000,3640,3,1,2,"yes","no","no","no","yes",0,"no","furnished",4550,3
"244",4550000,2550,3,1,2,"yes","no","yes","no","no",0,"no","furnished",4550,3
"245",4550000,5320,3,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished",4550,3
"246",4550000,5360,3,1,2,"yes","no","no","no","no",2,"yes","unfurnished",4550,3
"247",4550000,3520,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished",4550,3
"248",4550000,8400,4,1,4,"yes","no","no","no","no",3,"no","unfurnished",4550,3
"249",4543000,4100,2,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished",4543,3
"250",4543000,4990,4,2,2,"yes","yes","yes","no","no",0,"yes","furnished",4543,3
"251",4515000,3510,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished",4515,3
"252",4515000,3450,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished",4515,3
"253",4515000,9860,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished",4515,3
"254",4515000,3520,2,1,2,"yes","no","no","no","no",0,"yes","furnished",4515,3
"255",4480000,4510,4,1,2,"yes","no","no","no","yes",2,"no","semi-furnished",4480,3
"256",4480000,5885,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished",4480,3
"257",4480000,4000,3,1,2,"yes","no","no","no","no",2,"no","furnished",4480,3
"258",4480000,8250,3,1,1,"yes","no","no","no","no",0,"no","furnished",4480,3
"259",4480000,4040,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished",4480,3
"260",4473000,6360,2,1,1,"yes","no","yes","no","yes",1,"no","furnished",4473,3
"261",4473000,3162,3,1,2,"yes","no","no","no","yes",1,"no","furnished",4473,3
"262",4473000,3510,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished",4473,3
"263",4445000,3750,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished",4445,3
"264",4410000,3968,3,1,2,"no","no","no","no","no",0,"no","semi-furnished",4410,3
"265",4410000,4900,2,1,2,"yes","no","yes","no","no",0,"no","semi-furnished",4410,3
"266",4403000,2880,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished",4403,3
"267",4403000,4880,3,1,1,"yes","no","no","no","no",2,"yes","unfurnished",4403,3
"268",4403000,4920,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished",4403,3
"269",4382000,4950,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished",4382,3
"270",4375000,3900,3,1,2,"yes","no","no","no","no",0,"no","unfurnished",4375,3
"271",4340000,4500,3,2,3,"yes","no","no","yes","no",1,"no","furnished",4340,2
"272",4340000,1905,5,1,2,"no","no","yes","no","no",0,"no","semi-furnished",4340,2
"273",4340000,4075,3,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished",4340,2
"274",4340000,3500,4,1,2,"yes","no","no","no","no",2,"no","furnished",4340,2
"275",4340000,6450,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished",4340,2
"276",4319000,4032,2,1,1,"yes","no","yes","no","no",0,"no","furnished",4319,2
"277",4305000,4400,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished",4305,2
"278",4305000,10360,2,1,1,"yes","no","no","no","no",1,"yes","semi-furnished",4305,2
"279",4277000,3400,3,1,2,"yes","no","yes","no","no",2,"yes","semi-furnished",4277,2
"280",4270000,6360,2,1,1,"yes","no","no","no","no",0,"no","furnished",4270,2
"281",4270000,6360,2,1,2,"yes","no","no","no","no",0,"no","unfurnished",4270,2
"282",4270000,4500,2,1,1,"yes","no","no","no","yes",2,"no","furnished",4270,2
"283",4270000,2175,3,1,2,"no","yes","yes","no","yes",0,"no","unfurnished",4270,2
"284",4270000,4360,4,1,2,"yes","no","no","no","no",0,"no","furnished",4270,2
"285",4270000,7770,2,1,1,"yes","no","no","no","no",1,"no","furnished",4270,2
"286",4235000,6650,3,1,2,"yes","yes","no","no","no",0,"no","semi-furnished",4235,2
"287",4235000,2787,3,1,1,"yes","no","yes","no","no",0,"yes","furnished",4235,2
"288",4200000,5500,3,1,2,"yes","no","no","no","yes",0,"no","unfurnished",4200,2
"289",4200000,5040,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished",4200,2
"290",4200000,5850,2,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished",4200,2
"291",4200000,2610,4,3,2,"no","no","no","no","no",0,"no","semi-furnished",4200,2
"292",4200000,2953,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished",4200,2
"293",4200000,2747,4,2,2,"no","no","no","no","no",0,"no","semi-furnished",4200,2
"294",4200000,4410,2,1,1,"no","no","no","no","no",1,"no","unfurnished",4200,2
"295",4200000,4000,4,2,2,"no","no","no","no","no",0,"no","semi-furnished",4200,2
"296",4200000,2325,3,1,2,"no","no","no","no","no",0,"no","semi-furnished",4200,2
"297",4200000,4600,3,2,2,"yes","no","no","no","yes",1,"no","semi-furnished",4200,2
"298",4200000,3640,3,2,2,"yes","no","yes","no","no",0,"no","unfurnished",4200,2
"299",4200000,5800,3,1,1,"yes","no","no","yes","no",2,"no","semi-furnished",4200,2
"300",4200000,7000,3,1,1,"yes","no","no","no","no",3,"no","furnished",4200,2
"301",4200000,4079,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished",4200,2
"302",4200000,3520,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished",4200,2
"303",4200000,2145,3,1,3,"yes","no","no","no","no",1,"yes","unfurnished",4200,2
"304",4200000,4500,3,1,1,"yes","no","yes","no","no",0,"no","furnished",4200,2
"305",4193000,8250,3,1,1,"yes","no","yes","no","no",3,"no","semi-furnished",4193,2
